"id","screen_name","text","polite","sentiment","communication","retweet_count","followers_count","favourites_count","created_at"
462360254773489664,"asgharlab","Euro launch in Dewsbury #YHeurolab @yorkshirelabour w/@LindaMcAvanMEP @RichardC2014 @ejtunnicliffe @darrenjlhughes http://t.co/veyfqpylMW","polite","neutral","broadcasting",0,2290,4012,"Fri May 02 22:37:29 +0000 2014"
462360371693879296,"JonnyMounsor","So @nickgriffinmep has been hacked. But who remembers when he had an argument with @thisislucyb? That was much more fun.","polite","neutral","broadcasting",0,1189,5594,"Fri May 02 22:37:57 +0000 2014"
462360714204942336,"daavlawson","@Neaholeimus @Liam_Yeats @nickgriffinmep @bnp my personal favourite http://t.co/VWN6s1ViAw","polite","positive","engaging",0,109,11,"Fri May 02 22:39:19 +0000 2014"
462360980283203584,"MarkCollyerReal","@nickgriffinmep @metpoliceuk ""It takes a man to know what a man wants"" Peter Griffin about 5 minutes ago Family Guy BBC3","polite","neutral","engaging",0,1197,52810,"Fri May 02 22:40:22 +0000 2014"
462362384032866304,"cheshiretoad","Some home truths about immigration and the anti-UKIP campaign from @Nigel_Farage http://t.co/rdIRhDw3qs","polite","neutral","broadcasting",0,1466,1753,"Fri May 02 22:45:57 +0000 2014"
462369318349836288,"Ruben_NYC","@simpatiku_gj @danielrhamilton @DavideDenti @SavaJanjic Any further construction there would require a city permit.","polite","neutral","engaging",0,3178,31573,"Fri May 02 23:13:30 +0000 2014"
462371078745362432,"CStephenssnp","@tonigiugliano Very intelligent creatures Cats.","polite","neutral","engaging",0,10482,6810,"Fri May 02 23:20:30 +0000 2014"
462372029367590912,"Anothergreen",". @miguelsvieira dialogue between Marx and Ostrom approaches and focussed action on #commons is essential","polite","neutral","engaging",0,29617,10949,"Fri May 02 23:24:16 +0000 2014"
462374106831540224,"michaelgreen01","@RebeccaRideal impossible to sing at karaoke though...","polite","neutral","engaging",0,402,37,"Fri May 02 23:32:32 +0000 2014"
462374893086986240,"commander_clark","@nickgriffinmep don’t stop! Screenshot GOLD!","polite","neutral","engaging",0,42,111,"Fri May 02 23:35:39 +0000 2014"
462375998546526208,"StephenLees4","@DonnaInSussex Couldn't agree more -- I'm no fan of Cameron -- I voted for Davis in 2005, but who is the lesser of two evils: Dave or Ed?","polite","neutral","engaging",0,1531,1562,"Fri May 02 23:40:03 +0000 2014"
462379265041129472,"localnotail",", @Anon_0x03 is having a lot of fun with @nickgriffinmep's account tonight. I wonder what #nickgriffinspassword was? Bond007?","polite","neutral","broadcasting",0,653,3516,"Fri May 02 23:53:02 +0000 2014"
462381490442354688,"DonnaInSussex","@StephenLees4 Ukip essential for keeping Cameron on straight and narrow. No Ukip, no referendum promise.","polite","positive","broadcasting",0,1192,10,"Sat May 03 00:01:52 +0000 2014"
462383181141118976,"StephenLees4","@DonnaInSussex &lt; of canvassing, single-handed, some of the roughest council estates in South London.","polite","neutral","broadcasting",0,1531,1562,"Sat May 03 00:08:35 +0000 2014"
462386844727259136,"Tanguero_at","@ALDESpokesNeil @matstrolz @neos_eu Impressive speech of @ALDEParty President @grahamwatsonmep on stage in #vienna http://t.co/pD0B9dKYoW""","polite","positive","engaging",0,30,2405,"Sat May 03 00:23:09 +0000 2014"
462387610896584704,"DavidSidney","@chikkytita @HardieCraig @nickgriffinmep I think The Nazis were mentals to be put into room 101 BNP HnH UAF are all cunts","impolite","negative","engaging",223,365,16147,"Sat May 03 00:26:11 +0000 2014"
462400143548243968,"green_ballerina","MT Pls RT in solidarity with healthcare, #Syria and #Palestine activist @nurseboothroyd TU expulsion http://t.co/ZqupSyK84F","polite","neutral","broadcasting",0,29316,11070,"Sat May 03 01:15:59 +0000 2014"
462422485359554560,"violetavajda","I’ve signed the #pforp pledge to stand-up for citizens against lobbying by big business #EP2014","polite","neutral","broadcasting",0,406,711,"Sat May 03 02:44:46 +0000 2014"
462461417732730880,"fimetic","@DanHannanMEP Good point, well made.","polite","positive","engaging",0,276,21486,"Sat May 03 05:19:28 +0000 2014"
462463381933289472,"andyg00d","@pippabartolotti :) Guess it's the dismissive and disrespectful tone lost in it's own rhetoric. It doesn't see business is already changing","polite","negative","engaging",0,792,1620,"Sat May 03 05:27:17 +0000 2014"
462472864936235008,"TomtimeT","@PoliticalKai @Nigel_Farage supporting protection of wildlife would generate much support. RSPB for instance has over 1 million members.","polite","negative","engaging",0,51,282,"Sat May 03 06:04:57 +0000 2014"
462478701570306048,"cllrtomhunt1","Going to be out and about euro election campaigning in Brentwood + Braintree today, #euro2014","polite","neutral","broadcasting",0,2974,2971,"Sat May 03 06:28:09 +0000 2014"
462481143770918912,"MirfinBoukouris","@DouglasLKennedy which country is this one set in ?","polite","neutral","engaging",0,2037,4074,"Sat May 03 06:37:51 +0000 2014"
462485024097705984,"IrelandUncut","Hey, perhaps you could unblock everyone the racist @nickgriffinmep blocked while you @Anon_0x03 are in there?! Starting with me! :-) #Kudos","polite","negative","engaging",0,9826,123697,"Sat May 03 06:53:16 +0000 2014"
462490027290009600,"Daviid89",".@nickgriffinmep getting hacked is the best thing I've seen on Twitter for a very long time.","polite","negative","broadcasting",0,249,245,"Sat May 03 07:13:09 +0000 2014"
462491153112502272,"sanchia4europe","Glad the sun is finally out! My morning will be spent with @barkinglabour then my afternoon with the  @HackneyLabour folk #fighting4ldn14","polite","positive","broadcasting",0,4296,46,"Sat May 03 07:17:38 +0000 2014"
462492073145675776,"DanHannanMEP","This will be deeply unpopular, but it needs saying. The presumption of innocence applies to everyone - including Gerry Adams.","polite","neutral","broadcasting",0,105510,10,"Sat May 03 07:21:17 +0000 2014"
462492455653605376,"EmmaDixon_Green","Live in the NW? Vote Green for the utterly fabulous @PeterCranie, &amp; kick out the BNP! #VoteGreen2014 #HopeNotHate  http://t.co/w3pObe8a31","polite","neutral","broadcasting",0,3903,42326,"Sat May 03 07:22:48 +0000 2014"
462495828750655488,"vickyford","On the train to the seaside. Sun is shining - see you on Cromer Pier at 10am or Kings Lynn at 2pm.   Rock On!","polite","neutral","broadcasting",0,8051,3581,"Sat May 03 07:36:12 +0000 2014"
462498613080641536,"raymondfinch","@UKIPChristchurc @YouTube @GawainTowler Excellent stuff from Gawain.","polite","positive","engaging",0,407,54,"Sat May 03 07:47:16 +0000 2014"
462501853381812224,"MargotLJParker","@Cornishview More his suitcase carrier!","polite","neutral","engaging",0,11139,3327,"Sat May 03 08:00:09 +0000 2014"
462505634613981184,"voterossbrown","Join a party that has the interests of the #commongood at the heart of our agenda http://t.co/yKtXAv6myG","polite","neutral","broadcasting",0,4215,2555,"Sat May 03 08:15:10 +0000 2014"
462508422051934208,"cymroynewrop","Back to campaign in Brecon today where I first stood for @Plaid_Cymru way back in 1997! #Wales1st","polite","neutral","broadcasting",0,782,2149,"Sat May 03 08:26:15 +0000 2014"
462510784002928640,"Rory_Palmer","Great weather for #labourdoorstep today. Lots of campaigning across the East Midlands today  http://t.co/CP4d7siv01","polite","positive","broadcasting",0,4625,1799,"Sat May 03 08:35:38 +0000 2014"
462512552136949760,"_cocochanelx","@nickgriffinmep @David_Cameron what a fucking cunt @_Pam3laaa","impolite","negative","engaging",0,452,9037,"Sat May 03 08:42:40 +0000 2014"
462513156024451072,"steve4319","The night when @NickGriffinMEP tweeted 'oink oink oink' and asked the Queen to suck his balls http://t.co/yUgjvg8lvm","polite","neutral","broadcasting",0,1849,568,"Sat May 03 08:45:04 +0000 2014"
462514740762533888,"BelindaBG","ta Paul @Planographer @Paddygray1 @PeterShanksUU @DrChauntelle @maggieoneill9 @PhilHubbard1 @barbbrents @DrClarissaSmith  @ProfAlanMcKee","polite","positive","engaging",0,3921,1890,"Sat May 03 08:51:21 +0000 2014"
462515165230268416,"KatBoettge","Enjoy and good luck at the Nottingham #MayDay event @nottsgreenparty @Sue_Mallender @CllrRMallender","polite","neutral","engaging",0,1595,713,"Sat May 03 08:53:03 +0000 2014"
462517248255852544,"shanoakes","I laughed so hard it made me vote  https://t.co/6ZMTNdLeEc  #VoteGreen2014","polite","positive","broadcasting",0,1872,162,"Sat May 03 09:01:19 +0000 2014"
462517257844043776,"MarkForEurope","Rounding up the debate in Senate Chamber Hustings..fantastic audience of young people...thanks to all for hosting. http://t.co/aYcEkmz89C","polite","positive","broadcasting",0,347,8,"Sat May 03 09:01:22 +0000 2014"
462517444394098688,"WillDuckworthGP","""I laughed so hard it made me vote""  https://t.co/2AZUOFnFP7  #VoteGreen2014","polite","neutral","broadcasting",0,3566,144,"Sat May 03 09:02:06 +0000 2014"
462520582874341376,"darrenjlhughes","Lovely sunny morning in Scarborough for some voter ID in Falsgrave #YHLabEuro","polite","neutral","broadcasting",0,824,492,"Sat May 03 09:14:34 +0000 2014"
462521047309631488,"suzanneshine","@purplehelen @SLATUKIP It is a bit of a surprise as what would @AMDWaters have in common with UKIP apart from scaremongering?","polite","negative","engaging",0,5896,23922,"Sat May 03 09:16:25 +0000 2014"
462522071961309184,"JillEvansMEP","Penwythnos yng Ngwynedd. Tywyn heddiw, wedyn Caernarfon a Phenllyn. Great Aberdyfi views this morning @Plaid_Cymru http://t.co/1Enmaphg9t",NA,NA,NA,0,5920,972,"Sat May 03 09:20:29 +0000 2014"
462525503598235648,"PaulBrannenNE","Beautiful day in Sunderland. All set to canvass postal voters who have started to receive ballot papers today #labourdoorstep","polite","neutral","broadcasting",0,5013,96,"Sat May 03 09:34:08 +0000 2014"
462526429104963584,"Johnedwarddiver","@LindaMcAvanMEP @NicDakinMP Now  we know who put the cunt in Scunthorpe.","impolite","negative","engaging",0,1262,3866,"Sat May 03 09:37:48 +0000 2014"
462527043843145728,"Anothergreen","The Rise of the Green Left Inside the Worldwide Ecosocialist Movement      Derek Wall http://t.co/SaFKW7keCV #green #ecosocialist","polite","neutral","broadcasting",0,29617,10949,"Sat May 03 09:40:15 +0000 2014"
462529494969253888,"alexlmayer","In Chelmsford for #labourdoorstep with @VoteVince2015 and team. http://t.co/qPyYEEj997","polite","neutral","broadcasting",0,102,0,"Sat May 03 09:49:59 +0000 2014"
462532512087306240,"derekvaughan","In Bridgend for a days campaigning with the the Labour team and @AMCarwyn #welshlab14","polite","neutral","broadcasting",0,5776,509,"Sat May 03 10:01:59 +0000 2014"
462533166063181824,"__GriffCo__","@andrewmcneilis @MatthewParris3 has he deleted his tweets?","polite","neutral","engaging",0,11755,20294,"Sat May 03 10:04:34 +0000 2014"
462534162684317696,"Rory_Palmer","Fantastic #labourdoorstep team out in Chesterfield for @EastMidsLabour European campaign. #EP2014","polite","positive","broadcasting",0,4625,1799,"Sat May 03 10:08:32 +0000 2014"
462535257510920192,"sionsimon","And so the magic bus moves on, 1st to Burton @LW4WM @neenaformep @OlwenHamer @ansar_ali_khan http://t.co/cmKwo1V9CK","polite","neutral","broadcasting",0,10077,921,"Sat May 03 10:12:53 +0000 2014"
462536455563517952,"andypandy70","@StephenGethins @theSNP shame if you go but good luck if you do.","polite","neutral","engaging",0,81,1490,"Sat May 03 10:17:39 +0000 2014"
462536762779516928,"godhelpourkids","@DavidCoburnUKip @grumpybutcuddly 1/2 establishment always use racism claims to destroy rivals,next they will the unleash anti-nazi league","polite","negative","engaging",0,354,90,"Sat May 03 10:18:52 +0000 2014"
462537564923383808,"andrewwr235","@DanHannanMEP Under current system innoncent until proven guilty doesn't apply to those under TPIMs. #MagnaCarter","polite","neutral","engaging",0,220,488,"Sat May 03 10:22:03 +0000 2014"
462538424751493120,"ncarding","Looking forward to chairing EU Elections hustings tonight. Hear from @RogerHelmerMEP @LindaWoodings  @billnewtondunn and @RupertMatthews","polite","neutral","broadcasting",0,1001,278,"Sat May 03 10:25:28 +0000 2014"
462538925886959616,"El_Tomo84","@paulnuttallukip hahaha! That 1 ex Labour proves it Paul? Clutching at straws you lad.","polite","neutral","engaging",0,876,32581,"Sat May 03 10:27:28 +0000 2014"
462542638013751296,"afertom24","@wezlangdon @glopol_analysis @Nigel_Farage What do you suggest?  Time is not on our side weslangdon.","polite","neutral","engaging",0,2975,3508,"Sat May 03 10:42:13 +0000 2014"
462544421603782656,"LGBT_Azerbaycan","@GlenisWillmott Join to ""Hate Kills"" campain.Share in your country.And dont forget retweet,Its very important for us http://t.co/6GzrNohBNi",NA,NA,NA,0,752,121,"Sat May 03 10:49:18 +0000 2014"
462544512502726656,"catherinemep","Looking forward to breakfast with the kind gents of #Tillington at their monthly breakfast club this am. All interested to find out about EP","polite","neutral","broadcasting",0,14507,702,"Sat May 03 10:49:40 +0000 2014"
462544578479149056,"catherinemep","@mandreasen: If we left the EU ""I do not think we would lose anything."" Other than access to the biggest market in the world? #jobsatrisk","polite","neutral","engaging",0,14507,702,"Sat May 03 10:49:55 +0000 2014"
462546566612783104,"suzanneshine","@mehdirhasan @CalevMyers1 What is the truth about Christy Anastas Is her life or her family in danger? Lots of conflicting messages.","polite","neutral","engaging",0,1747,588,"Sat May 03 10:57:49 +0000 2014"
462548176168570880,"HenryMcMorrow","@cooksimon if @catherinemep's work in the EP wasn't for the people it would be pretty pointless wouldn't it?","polite","neutral","engaging",0,289,3,"Sat May 03 11:04:13 +0000 2014"
462550036778598400,"HumberGreen","Leafleting Brigg with the team and @clrandrewcooper http://t.co/YvP3VUmcyo","polite","neutral","broadcasting",0,557,180,"Sat May 03 11:11:37 +0000 2014"
462551776924033024,"Anothergreen","'Shoot grouse and frack the British countryside' https://t.co/KsS1QuqGBh","polite","neutral","broadcasting",0,29617,10949,"Sat May 03 11:18:32 +0000 2014"
462556836118679552,"DavidCoburnUKip","@AnishUKIP Nope- I will be in Glasgow","polite","neutral","engaging",0,18238,4565,"Sat May 03 11:38:38 +0000 2014"
462558078039502848,"skorzeny_lives","@nickgriffinmep @David_Cameron Oh dear he sbeen hacked again","polite","negative","broadcasting",0,1545,14642,"Sat May 03 11:43:34 +0000 2014"
462558536833441792,"Green_DannyB","RT @LondonYGs: #ff London Green Party MEP candidates @green_ballerina @violetavajda @Green_Caroline @GreenJeanMEP @Green_DannyB @ShahrarAli",NA,NA,NA,0,1454,850,"Sat May 03 11:45:23 +0000 2014"
462559884287176704,"CharlesTannock","In LBBromley with Beckenham Conservatives &amp; Bob Stewart MP GLAM @JamesCleverly for local/Europeans May 22-Toriestowin http://t.co/BA70bYb9ux","polite","neutral","broadcasting",0,7698,5473,"Sat May 03 11:50:45 +0000 2014"
462560251603337216,"vickyford","#bluebell #selfie #BeautifulBritain on way to #Cromer @VisitNorfolk","polite","neutral","engaging",0,8051,3581,"Sat May 03 11:52:12 +0000 2014"
462565175766556672,"NSinclaireMEP","Now in Stone. A beautiful place! #staffordshire","polite","positive","broadcasting",0,4121,1737,"Sat May 03 12:11:46 +0000 2014"
462565543011450880,"jillladelus1","@Julia__Reid Bournemouth n Poole r turning UKIP purple,the colour of Spiritual awareness n Royalty!Nigel's gonna be taking tea with HM soon!","polite","positive","engaging",0,2632,7753,"Sat May 03 12:13:14 +0000 2014"
462565770917314560,"vickyford","Another award winning SME - @icarushines butcher in #Cromer #Norfolk #buylocal @martin_lake @Brays_Cottage http://t.co/3KLQaZ0c4j","polite","neutral","broadcasting",0,8051,3581,"Sat May 03 12:14:08 +0000 2014"
462566533513101312,"ExtraBold","@GreenBenali Ok so I'm curious why the ""IN"" position doesn't appear in the MfSS section I quoted.","polite","neutral","engaging",0,1961,846,"Sat May 03 12:17:10 +0000 2014"
462568629914312704,"DavidCoburnUKip","@CharlesTannock @doncollier @RichardHilton1 UKIP are not in EP to promote it - but hinder it -","polite","negative","engaging",0,521,12075,"Sat May 03 12:25:30 +0000 2014"
462569221822889984,"fivewesties","@marcuschown When we are independent we should charge them a bundle to come up here for outdoor sports!","polite","neutral","engaging",0,940,12165,"Sat May 03 12:27:51 +0000 2014"
462573703491248128,"ExtraBold","@GreenBenali Clear support for some form of cooperation, but very negative about EU. UKIP could make a similar case.","polite","neutral","engaging",0,1961,846,"Sat May 03 12:45:39 +0000 2014"
462574632454062080,"mandreasen","Great day canvassing in Reigate with Zully Grant-Duff and  Michael Blaker #reigateconservatives http://t.co/Dinp2RIPdy","polite","positive","broadcasting",0,1380,14,"Sat May 03 12:49:21 +0000 2014"
462577569439952896,"DavidCoburnUKip","@doncollier @RichardHilton1 Cameron said it - not me - watch his lips move","polite","neutral","engaging",0,18238,4565,"Sat May 03 13:01:01 +0000 2014"
462577600255516672,"davenellist","FBU on strike from 2pm. Socialists back the firefighters! http://t.co/0lmRmpiLt0 #solidarity #fbu #nssn","polite","neutral","broadcasting",0,12076,4896,"Sat May 03 13:01:08 +0000 2014"
462577631310118912,"PhilBennionMEP","Leafleting &amp; street campaigning in #Pershore town centre. Come say hi &amp; find out why the Lib Dems are the party of IN Europe! @worcesternews","polite","neutral","broadcasting",0,1723,94,"Sat May 03 13:01:16 +0000 2014"
462578517965025280,"SteMorris","@RoosemanD @EnglishDemocrat UKIP dont support an English Parliament or English Independence, they are a British party","polite","neutral","engaging",0,649,34,"Sat May 03 13:04:47 +0000 2014"
462582791390371840,"jonathanfryer","@PoliticsMinion Rubbish, Sir!","polite","negative","engaging",0,10704,3531,"Sat May 03 13:21:46 +0000 2014"
462583344577130496,"ExtraBold","@HarrietHarman Idris Elba?","polite","neutral","engaging",0,1961,846,"Sat May 03 13:23:58 +0000 2014"
462592436393750528,"julie4nw","8/10 UK consumers want to know how their food is produced.EU laws ensure food labels are clear &amp; accurate but more can be done #VoteLab14","polite","neutral","broadcasting",0,14492,12426,"Sat May 03 14:00:06 +0000 2014"
462594836378292224,"WilnoPrince8","@nickgriffinmep @Noorface14 he was hacked lol","polite","negative","engaging",868,527,13543,"Sat May 03 14:09:38 +0000 2014"
462599051150884864,"suzanneshine","@GarySpedding @jncatron I'm sure Christy and the Emmaus group know what they are doing with their lives and those around them in Israel.","polite","neutral","engaging",0,5896,23922,"Sat May 03 14:26:23 +0000 2014"
462600283202527232,"ansar_ali_khan","Lovely afternoon in Stafford with super PPC @kategodfrey @sionsimon @neenaformep @LW4WM and Stafford councillors http://t.co/QQtvqIPALE","polite","positive","broadcasting",0,1688,990,"Sat May 03 14:31:16 +0000 2014"
462606589032402944,"julie4nw","@RichardHoffman4 @hawkeyes1965 @hopenothate No 8 on UKIP NW list said ""we like immigrants"" I reminded him of Lenny Henry &amp; Mo Farah comments","polite","neutral","engaging",0,14492,12426,"Sat May 03 14:56:20 +0000 2014"
462606946885857280,"onyango_victor","@catherinemep: My deepest condolences to victims of tragic Odessa fire, their families and people of #Ukraine @EuroMaidanEN  m.twitter.c ...","polite","neutral","engaging",0,1237,16996,"Sat May 03 14:57:45 +0000 2014"
462610800272998400,"biondi4europe","@sebdance working hard for #euro14 and hackney election http://t.co/VUjLqzKsAt","polite","neutral","engaging",0,1553,94,"Sat May 03 15:13:04 +0000 2014"
462612228076630016,"davidmartinmep","Taking #MayDay message of solidarity out on streets of Killie with @cathyjamieson for youth funding &amp; workers' rights http://t.co/c52VHBMxAs","polite","neutral","broadcasting",0,7196,101,"Sat May 03 15:18:44 +0000 2014"
462612298498973696,"DavidWickham3","http://t.co/kspVSirikg http://t.co/2ouzmE8P0v",NA,NA,NA,0,126,1,"Sat May 03 15:19:01 +0000 2014"
462612588916772864,"GinnerRodgers","A modern jazzy reversion of Mien Kampf @nickgriffinmep #twat http://t.co/wRRKomnUB6 via @YouTube","impolite","negative","broadcasting",0,131,80,"Sat May 03 15:20:10 +0000 2014"
462614118932152320,"IanGManning","@Ashley_Walsh @richardhowitt missing the point. You published a nasty personal slur, don't try and hide.","polite","negative","engaging",0,1237,55,"Sat May 03 15:26:15 +0000 2014"
462614751517089792,"MEPStandingUp4U","Don't Get Angry - Vote #MyPresident&amp;Yours http://t.co/kXYKa4hzT0","polite","neutral","broadcasting",0,13278,8836,"Sat May 03 15:28:46 +0000 2014"
462617335715491840,"shanoakes","Green Light for Pension Power: 6 months of action | ShareAction http://t.co/ccgYubYiIR",NA,NA,NA,0,98,66,"Sat May 03 15:39:02 +0000 2014"
462618333121376256,"Yanasman","@choudhychouds @nickgriffinmep brilliant eh? Brought a smile to meh pus :D","polite","positive","engaging",0,131,4,"Sat May 03 15:43:00 +0000 2014"
462624125018963968,"emcmillanscott","@clairethomas1 and me telling Hull voters Siemens wouldn't create 10000 jobs around Y&amp;H if we weren't In EU #WhyIamIn http://t.co/rJQV1EJI2z","polite","neutral","engaging",0,5718,1417,"Sat May 03 16:06:01 +0000 2014"
462626175555489792,"vickyford","Such a diverse looking bunch of white blokes ... #allboysclub #ukip - yup despite the abuse I'm still saying this http://t.co/AjswBDfaLG","polite","negative","broadcasting",0,8051,3581,"Sat May 03 16:14:10 +0000 2014"
462626695896657920,"philipjustice66","@Green_Adz87 @nose_army @clrandrewcooper Thats all white giv us someone real to vote for next time or just dont....","polite","negative","engaging",0,286,2260,"Sat May 03 16:16:14 +0000 2014"
462627382667796480,"ClaudeMoraesMEP","@thomasdolphin thanks for the time you are taking out to help us on the campaign Tom.","polite","positive","engaging",0,10921,1940,"Sat May 03 16:18:57 +0000 2014"
462630332458864640,"OakhamUK","@EmmaMcClarkin Tory MEP East Midlands Questioning Her on Why People Should Vote Tory on May 22, Video http://t.co/wG5pyiEipP","polite","neutral","engaging",0,11946,2910,"Sat May 03 16:30:41 +0000 2014"
462631631401283584,"GrillingKippers","@JaniceUKIP Yours are councillors and appear in your election broadcasts. I think that's possibly the difference","polite","negative","engaging",0,2383,5616,"Sat May 03 16:35:50 +0000 2014"
462634078089793536,"theblindblogger","My predictions for South East #EE2014  @Nigel_Farage  @JaniceUKIP  @DianeUKIP  @raymondfinch  @DonnaInSussex  @CulliganPA  #UKIP #VOTEUKIP","polite","neutral","broadcasting",0,2342,2491,"Sat May 03 16:45:34 +0000 2014"
462637890930225152,"marcuschown","My wife says it's brilliant (By coincidence, drove through Hokitika in NZ) @Judemymum @EleanorCatton I've just started reading it, too!","polite","positive","engaging",0,42811,951,"Sat May 03 17:00:43 +0000 2014"
462638874691661824,"99_hp","@JaniceUKIP This was the chap who referred to gay people as an abomination before god, I don't think he was Ex-BNP.","polite","neutral","broadcasting",0,2002,73905,"Sat May 03 17:04:37 +0000 2014"
462639513983279104,"HarryDunning","“@nickgriffinmep: Perhaps the Queen could suck me balls.” Looks like somebody has been hacked haaaaa.","polite","negative","broadcasting",0,348,4408,"Sat May 03 17:07:10 +0000 2014"
462644771056402432,"vickyford","Top @ConMEPs: @SyedKamall Leader @jfostermep D leader @ewrop2014 treas @EmmaMcClarkin whip @anthea_McIntyre &amp; @Ashleyfoxmep",NA,NA,NA,0,8051,3581,"Sat May 03 17:28:03 +0000 2014"
462645386830938112,"sionsimon","@philbc3 you too phil. Cheers.","polite","positive","engaging",0,10077,921,"Sat May 03 17:30:30 +0000 2014"
462649192868233216,"NM_Rdg","@amgsharpe @DanHannanMEP @KatHarborne You mean ""Vote UKIP"" don't you? Without their threat you'd have not bothered with your 2017 ""promise""","polite","negative","engaging",0,101,130,"Sat May 03 17:45:37 +0000 2014"
462650319248588800,"LocalRachel","@digidemocracyuk @estrangeirada @hubmum @femioyeniran @Meg_HillierMP @halfon4harlowMP @helenmilner Letting you know about @YOURvoiceParty",NA,NA,NA,0,782,295,"Sat May 03 17:50:06 +0000 2014"
462650463926910976,"LocalRachel","@digidemocracyuk @estrangeirada @hubmum @femioyeniran @Meg_HillierMP @halfon4harlowMP @helenmilner I am personally also publicising yr work","polite","neutral","engaging",0,782,295,"Sat May 03 17:50:40 +0000 2014"
462652107871780864,"vickyford","@EmilyE1986 so glad you don't apply that policy to motorway traffic management","polite","positive","engaging",9542,17,29,"Sat May 03 17:57:12 +0000 2014"
462657114482429952,"LocalRachel","I just discovered interesting work by @redecentralize http://t.co/5HQ0ykIkbg","polite","neutral","broadcasting",0,782,295,"Sat May 03 18:17:06 +0000 2014"
462657461556887552,"lovewantneedit","@MummyBarrow @nickgriffinmep kind of liking the new nick!","polite","positive","engaging",0,332,830,"Sat May 03 18:18:29 +0000 2014"
462658972357754880,"tomsandyo","Seeing @nickgriffinmep being hacked is fucking hilarious","impolite","negative","broadcasting",0,116,460,"Sat May 03 18:24:29 +0000 2014"
462660450254327808,"PaulJamesOakley","@ProfBenWalker @GawainTowler @SuzanneEvans1 @JonathanArnott @star_pumpkin And back at the one. The only: @ShneurOdzeUKIP","polite","positive","engaging",0,461,451,"Sat May 03 18:30:21 +0000 2014"
462664119691517952,"unitedcwsociety",".@cllrianward @DanHannanMEP And those who did!","polite","neutral","engaging",0,1174,360,"Sat May 03 18:44:56 +0000 2014"
462664395613831168,"Christismybitch","When I was told today that the @nickgriffinmep account had been hacked I didn't know it would be so funny.","polite","neutral","broadcasting",1,593,37298,"Sat May 03 18:46:02 +0000 2014"
462665476360134656,"suzanneshine","@LiberalIsland @OlszewskiLAB Kermit Guramit Singh Kalirai was a very prominent EDL SIkh activist. Why is beyond me.","polite","neutral","engaging",0,5896,23922,"Sat May 03 18:50:20 +0000 2014"
