"date","unemp"
2011-01-01,0.091
2011-02-01,0.09
2011-03-01,0.09
2011-04-01,0.091
2011-05-01,0.09
2011-06-01,0.091
2011-07-01,0.09
2011-08-01,0.09
2011-09-01,0.09
2011-10-01,0.088
2011-11-01,0.086
2011-12-01,0.085
2012-01-01,0.083
2012-02-01,0.083
2012-03-01,0.082
2012-04-01,0.082
2012-05-01,0.082
2012-06-01,0.082
2012-07-01,0.082
2012-08-01,0.081
2012-09-01,0.078
2012-10-01,0.078
2012-11-01,0.077
2012-12-01,0.079
2013-01-01,0.08
2013-02-01,0.077
2013-03-01,0.075
2013-04-01,0.076
2013-05-01,0.075
2013-06-01,0.075
2013-07-01,0.073
2013-08-01,0.073
2013-09-01,0.073
2013-10-01,0.072
2013-11-01,0.069
2013-12-01,0.067
2014-01-01,0.066
2014-02-01,0.067
2014-03-01,0.067
2014-04-01,0.062
2014-05-01,0.062
2014-06-01,0.061
2014-07-01,0.062
2014-08-01,0.062
2014-09-01,0.06
2014-10-01,0.057
2014-11-01,0.058
2014-12-01,0.056
2015-01-01,0.057
2015-02-01,0.055
2015-03-01,0.055
2015-04-01,0.054
2015-05-01,0.055
2015-06-01,0.053
2015-07-01,0.053
2015-08-01,0.051
2015-09-01,0.051
2015-10-01,0.05
2015-11-01,0.05
2015-12-01,0.05
2016-01-01,0.049
2016-02-01,0.049
2016-03-01,0.05
2016-04-01,0.05
2016-05-01,0.047
2016-06-01,0.049
2016-07-01,0.049
2016-08-01,0.049
2016-09-01,0.05
2016-10-01,0.049
